Id,duration,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,last_flag,attack_class,protocol_type_tcp,protocol_type_udp,service_X11,service_Z39_50,service_aol,service_auth,service_bgp,service_courier,service_csnet_ns,service_ctf,service_daytime,service_discard,service_domain,service_domain_u,service_echo,service_eco_i,service_ecr_i,service_efs,service_exec,service_finger,service_ftp,service_ftp_data,service_gopher,service_harvest,service_hostnames,service_http,service_http_2784,service_http_443,service_http_8001,service_imap4,service_iso_tsap,service_klogin,service_kshell,service_ldap,service_link,service_login,service_mtp,service_name,service_netbios_dgm,service_netbios_ns,service_netbios_ssn,service_netstat,service_nnsp,service_nntp,service_ntp_u,service_other,service_pm_dump,service_pop_2,service_pop_3,service_printer,service_private,service_red_i,service_remote_job,service_rje,service_shell,service_smtp,service_sql_net,service_ssh,service_sunrpc,service_supdup,service_systat,service_telnet,service_tftp_u,service_tim_i,service_time,service_urh_i,service_urp_i,service_uucp,service_uucp_path,service_vmnet,service_whois,flag_REJ,flag_RSTO,flag_RSTOS0,flag_RSTR,flag_S0,flag_S1,flag_S2,flag_S3,flag_SF,flag_SH,attack_buffer_overflow,attack_ftp_write,attack_guess_passwd,attack_imap,attack_ipsweep,attack_land,attack_loadmodule,attack_multihop,attack_neptune,attack_nmap,attack_normal,attack_perl,attack_phf,attack_pod,attack_portsweep,attack_rootkit,attack_satan,attack_smurf,attack_spy,attack_teardrop,attack_warezclient,attack_warezmaster
duration,1,0.011739625,0.036891845,,,,0.021273562,,-0.064537726,0.062081063,,,,,,,,,,-0.099244029,-0.050309308,-0.087513658,-0.087146421,0.173108048,0.173606579,0.08586851,0.001608306,-0.05009894,0.05429516,-0.050309308,-0.1395048,0.323504542,0.276601702,-0.034260181,-0.078252091,-0.07795549,0.150303545,0.171099025,-0.146935117,0.089313249,-0.053326785,0.092063938,0.011867617,-0.010648579,-0.000551633,-0.011262653,-0.009492078,-0.009685808,-0.008066305,-0.008233773,-0.006754476,-0.006934184,-0.008286617,-0.036550353,-0.005767741,-0.026909231,-0.021906107,-0.00748496,-0.007370693,-0.015887984,0.002697002,-0.022957702,-0.007803959,-0.000551633,-0.007228921,-0.094475368,-0.000390062,-0.008997913,-0.000551633,-0.008957497,-0.009308019,-0.006943599,-0.005325106,-0.007911,-0.007383255,-0.006872971,-0.007007307,-0.007134587,-0.006634852,-0.00595011,-0.006132484,-0.006109222,-0.009812438,-0.005279674,-0.004907286,0.352710659,-0.000872218,-0.000648242,-0.004770406,-0.000270179,0.035888494,-0.001103292,-0.000652902,-0.000958695,-7.20E-05,-0.033144541,-0.004534007,-0.005475095,-0.006355693,-0.008057475,-0.00740337,0.092972988,-0.000675612,-0.001103292,-0.008054054,-0.001233527,-0.009593343,-0.010041115,-0.009323786,-0.008717277,-0.009356028,-0.043311406,-0.003733066,0.020369098,0.497641119,-0.085618366,-0.007462908,-0.004180215,0.004279977,-0.03473042,-0.006428118,-0.00084522,-0.000867854,-0.002789413,-0.001237923,-0.023313164,-0.001655003,-0.000890827,0.000219626,-0.096538478,-0.015161788,-0.009283315,-0.000491546,-0.000756993,-0.005534474,0.408874474,-0.000413961,-0.023837079,-0.020278515,0.000604618,-0.011691145,0.037013388,-0.001571482
src_bytes,0.011739625,1,0.127826513,,,,0.379972779,,0.163274806,0.60336301,,,,,,,,,,-0.105270504,-0.036083284,-0.100188936,-0.099507202,-0.044664331,-0.033163768,0.119280626,-0.035557497,0.011233649,-0.0730447,5.50E-05,0.068031894,-0.036770901,0.017299924,-0.030134718,-0.099584696,-0.099962692,-0.045250661,-0.047173835,-0.244251384,-0.019617003,0.066888943,-0.057434887,0.117599672,-0.013922415,-0.000668327,-0.01462442,-0.012627761,-0.012840645,-0.01105629,-0.011238195,-0.010808952,-0.009902957,-0.011264611,-0.044600209,-0.009861839,-0.032228315,-0.003916501,-0.010427449,-0.010307943,-0.019356907,-0.007070949,0.204189679,-0.010777294,-0.000668327,-0.010154133,0.052780209,-0.000472577,-0.010902445,-0.000668327,-0.011902675,-0.012420403,-0.009850564,-0.008181269,-0.009584518,-0.010318978,-0.009798698,-0.009918815,-0.010053947,-0.009525684,-0.008815216,-0.009003834,-0.008979289,-0.011891302,-0.008139223,-0.005843578,-0.009996886,-0.001011566,-0.004174283,-0.007320332,-0.003925525,-0.076047021,-0.001218533,-0.004174907,-0.004383924,-0.000692842,0.038582893,-0.007404138,-0.008259083,-0.009237823,-0.011046098,-0.010340762,-0.016092685,-0.000817738,-0.000681166,-0.012116486,-0.00143539,-0.01010832,-0.013239031,-0.012438568,-0.011767346,-0.012474821,-0.052480722,-0.016137772,0.007541181,0.018268134,-0.103727793,0.04195536,0.011525871,0.031067132,0.117345512,-0.007787942,0.000932714,-0.001050068,-0.003022171,-0.000990116,-0.028496047,-0.002005108,-0.001208602,-0.000721861,-0.11693104,-0.017705632,0.00440956,-0.000607308,-0.000898342,0.002845092,-0.022114083,-0.001066672,-0.028784439,-0.002928063,-0.000555046,-0.013779091,0.047995393,-0.002012372
dst_bytes,0.036891845,0.127826513,1,,,,0.127001995,,0.421999142,0.237362654,,,,,,,,,,-0.237213761,-0.087530866,-0.20177616,-0.202172229,-0.118673299,-0.113903722,0.268596475,-0.112569282,0.01287897,-0.209267179,0.323253371,0.31132062,-0.131369712,-0.080878879,-0.015250128,-0.208831646,-0.208730832,-0.120730892,-0.109380561,0.098952205,-0.263788064,0.162283526,-0.122828102,0.086083509,-0.029283844,-0.00140573,-0.030632833,-0.026560728,-0.027008498,-0.023255367,-0.023637977,-0.022734537,-0.023104893,-0.022836035,-0.091887345,-0.020743081,-0.068573007,-0.055823506,-0.021932693,-0.021681595,-0.040288822,0.009723708,-0.076889634,-0.022657006,-0.00140573,-0.021357812,0.421040815,-0.000993997,-0.022931735,-0.00140573,-0.024039002,-0.026124579,-0.0207193,-0.017208185,-0.020159664,-0.021704541,-0.019612193,-0.020862857,-0.021147087,-0.020035963,-0.018541598,-0.018939244,-0.018886703,-0.025011655,-0.017121435,-0.012431147,-0.06469363,-0.001511226,-0.008756768,0.004317794,-0.008248021,-0.160552046,-0.002811527,-0.00878143,-0.009221063,-0.007992468,-0.064260339,-0.015573608,-0.015521745,-0.019431382,-0.02323393,-0.02175036,0.106312368,-0.001721667,-0.002811527,-0.025477083,-0.003143408,-0.024446793,-0.027846457,-0.026162787,-0.02475097,-0.02623904,-0.1103857,-0.033535156,-0.010092057,-0.021514172,-0.218181966,0.137051181,0.043578816,0.008654186,0.260375025,-0.016380824,0.014188718,0.004816781,-0.00607203,0.004679182,-0.060146144,-0.004217458,0.003705607,0.021495147,-0.246005939,-0.038630985,0.289520329,0.001413467,0.010050036,-0.014103543,-0.053376794,0.006872839,-0.060373903,-0.051675902,-0.000155672,-0.029791244,-0.011540952,0.064961903
land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wrong_fragment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urgent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot,0.021273562,0.379972779,0.127001995,,,,1,,0.168937125,0.423629961,,,,,,,,,,-0.10053985,-0.049882645,-0.082285603,-0.082354841,-0.035476252,-0.028680483,0.10362501,-0.03013985,-0.01707026,-0.043161084,-0.039058214,0.013809084,-0.028852186,-0.038697448,-0.034278847,-0.085733389,-0.085295387,-0.03599366,-0.037023038,-0.242288004,0.024818918,0.067021024,-0.0517328,-0.002451604,-0.011682875,-0.00056082,-0.012301534,-0.01059648,-0.010775119,-0.009277797,-0.00943044,-0.009070347,-0.009217765,-0.009144304,-0.039141482,-0.008275598,-0.027357401,-0.022270951,-0.008750112,-0.008649936,-0.014869093,0.663200707,-0.021344821,-0.008691502,-0.00056082,-0.008520761,0.013662072,-0.000396558,-0.009148683,-0.00056082,-0.00885031,-0.010422477,-0.008266025,-0.006865256,-0.008042757,-0.00865909,-0.008227625,-0.008323298,-0.008436692,-0.007993406,-0.007397225,-0.007555867,-0.007534905,-0.009978473,-0.006830646,-0.005143391,-0.025165443,-0.000886745,-0.003503377,-0.005956657,-0.003294948,-0.064481132,-0.001121667,-0.003503377,-0.00367877,-0.003197966,-0.030599387,-0.006213136,-0.006547335,-0.00693042,-0.009269244,-0.00867737,0.015412535,-0.000686864,-0.001121667,-0.008597933,-0.001254072,-0.00975312,-0.011109669,-0.01043772,-0.009874472,-0.010468142,-0.044038697,-7.11E-05,-0.004026256,0.006099518,-0.086691269,0.005006073,0.068758631,0.005233301,0.098075935,-0.005561205,0.08263884,0.010203968,0.058725825,0.008343362,-0.024137386,-0.001682567,0.020166194,0.026192801,-0.098146349,-0.015414306,-0.006636075,-0.000686864,0.031240098,-0.00562665,-0.020525896,0.003810946,-0.022771477,-0.020616252,-0.00056082,-0.01188586,0.270176875,0.003598881
num_failed_logins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logged_in,-0.064537726,0.163274806,0.421999142,,,,0.168937125,,1,0.125493067,,,,,,,,,,-0.539761687,-0.201053432,-0.49193116,-0.490173117,-0.287517608,-0.283534807,0.600543653,-0.221326055,0.131072318,-0.401087338,0.624362594,0.604056318,-0.256067103,-0.16099391,-0.052834085,-0.491484291,-0.493270056,-0.275974312,-0.272809022,0.30747433,-0.611576335,0.385354869,-0.297451231,0.010867639,-0.067173739,-0.003224581,-0.042283601,-0.060927226,-0.06195436,-0.053345113,-0.054222776,-0.051899382,-0.052751009,-0.045797078,-0.225054163,-0.047305664,-0.157298517,-0.128052642,-0.050311053,-0.049735063,-0.096525184,0.068421513,0.090977384,-0.050732968,-0.003224581,-0.048992341,0.699555292,-0.002280114,-0.052602738,-0.003224581,-0.057011228,-0.059926751,-0.047527669,-0.039473579,-0.046243928,-0.049787697,-0.04647093,-0.047856971,-0.048508962,-0.045960173,-0.042532274,-0.043141166,-0.043323904,-0.057373833,-0.037598169,-0.029573268,-0.130386732,-0.005098571,-0.019491002,0.029294448,-0.018251355,-0.370493869,-0.006449316,-0.020143581,-0.021152047,-0.016957884,0.280871116,-0.035724048,-0.035353069,-0.044573335,-0.053295937,-0.0498928,-0.011531453,-0.003949305,-0.006449316,-0.057784396,-0.007210612,-0.056078106,-0.063257117,-0.060014396,-0.056775851,-0.060189312,-0.253211982,-0.070581384,-0.023150007,-0.093419125,-0.500447814,0.052718516,0.033627997,0.019435992,0.641746611,-0.037575709,0.019071438,0.005773362,-0.015811321,-0.005825307,-0.13634813,-0.009674358,0.00852437,0.002678268,-0.564283444,-0.088628574,0.690180913,0.006030272,0.006963186,-0.032351891,-0.124580529,0.001899707,-0.134122628,-0.11853852,0.000849548,-0.068340853,0.104233109,-0.007620861
num_compromised,0.062081063,0.60336301,0.237362654,,,,0.423629961,,0.125493067,1,,,,,,,,,,-0.071763239,-0.034837881,-0.060378215,-0.060296182,-0.020827025,-0.00885078,0.076679167,-0.030726094,-0.004731245,-0.037133363,-0.004396287,0.059499272,-0.027770904,-0.034179152,-0.01659867,-0.046812775,-0.050796273,-0.02284682,-0.02050055,-0.278755027,0.025598411,0.048359365,-0.037328067,-0.002445468,-0.008429839,-0.000404663,0.00113877,-0.007645945,-0.007774843,-0.006694442,-0.006804582,-0.006544756,-0.006651125,-0.006840909,-0.028242737,-0.0059713,-0.019739873,-0.016069719,-0.006313688,-0.006241406,-0.012113241,-0.012067968,-0.0236743,-0.006525808,-0.000404663,-0.006148199,0.085512941,-0.000286139,-0.006601279,-0.000404663,-0.00508746,-0.007520392,-0.005964393,-0.004953661,-0.005803292,-0.006248011,-0.004581122,-0.006005718,-0.006087538,-0.005767683,-0.005337506,-0.005451974,-0.00543685,-0.007200018,-0.004928688,-0.00371124,-0.019227157,-0.000639835,-0.00252788,-0.002927185,-0.002377487,-0.046526692,-0.000809344,-0.00252788,-0.002654435,-0.002307509,-0.022172695,-0.00448312,-0.005052328,-0.005593645,-0.006688271,-0.006261201,0.186060154,-0.00049561,-0.000809344,-0.007336582,-0.000904882,-0.007037414,-0.008016239,-0.007531391,-0.007124976,-0.007553341,-0.031776348,-0.009238628,-0.002905165,0.011668037,-0.062807285,0.019502415,-0.000737805,0.002001571,0.073022454,-0.004715491,0.090556254,0.00910072,-0.00208355,0.00750238,-0.016942419,-0.001214065,0.017828228,0.020431456,-0.070818002,-0.011122272,-0.049945696,-0.00049561,-0.000572284,-0.004059938,-0.015674533,0.025686823,-0.016085327,-0.014875762,-0.000404663,-0.008576303,-0.008566615,-0.001279747
